,Date,Mean,Median
0,463,1651.6923076923076,858.0
1,464,573.9230769230769,233.0
2,465,1358.7692307692307,811.0
3,466,869.3076923076923,492.0
4,467,989.8461538461538,607.0
5,468,865.0769230769231,402.0
6,469,948.75,492.0
7,470,741.6153846153846,313.0
8,471,785.0,249.0
9,472,482.2307692307692,161.0
10,473,638.5454545454545,356.0
11,474,701.4166666666666,348.5
12,476,1254.5833333333333,645.5
13,477,1148.2307692307693,478.0
14,478,1277.5,792.5
15,479,1003.7692307692307,328.0
16,480,632.0769230769231,358.0
17,482,769.1538461538462,294.0
18,483,419.6923076923077,285.0
19,484,842.75,536.5
20,390,930.9,568.5
21,392,601.0833333333334,337.5
22,396,746.5833333333334,520.5
23,399,675.75,424.0
24,419,1004.7272727272727,461.0
25,440,766.1666666666666,495.0
26,441,698.6923076923077,510.0
27,448,1432.3333333333333,429.0
28,449,1941.9166666666667,565.0
29,450,2072.8333333333335,1540.5
30,451,1320.076923076923,385.0
31,452,654.0,444.0
32,453,877.3333333333334,381.0
33,454,921.3333333333334,380.0
34,455,1025.8333333333333,382.5
35,456,1242.5833333333333,667.0
36,457,512.5833333333334,192.5
37,458,836.6666666666666,456.5
38,459,512.1666666666666,322.5
39,460,656.0833333333334,372.5
40,461,941.1666666666666,298.0
41,462,957.9166666666666,427.0
42,475,621.7272727272727,393.0
43,481,562.4166666666666,229.0
44,485,1836.75,1233.5
45,486,846.9166666666666,602.0
46,487,1167.1666666666667,720.5
47,488,1914.9166666666667,918.5
48,489,976.6666666666666,425.5
49,490,701.3333333333334,420.0
50,491,811.75,358.5
51,492,867.9166666666666,492.0
52,493,984.3333333333334,356.5
53,494,1496.4166666666667,959.5
54,495,1017.9166666666666,576.5
55,496,700.3333333333334,302.0
56,497,863.9166666666666,497.0
57,498,958.6666666666666,564.5
58,499,722.3333333333334,421.5
59,500,1666.75,1286.0
60,501,986.25,802.5
61,502,932.9166666666666,595.0
62,503,615.9166666666666,274.5
63,504,647.8333333333334,451.5
64,505,1207.25,705.0
65,506,666.3333333333334,362.5
66,507,1199.6666666666667,767.5
67,508,648.5454545454545,252.0
68,509,823.6666666666666,359.0
69,510,806.9230769230769,325.0
70,511,724.4545454545455,337.0
71,513,1175.9,555.5
72,514,1395.8,828.5
73,515,1378.6363636363637,845.0
74,516,1677.6363636363637,1033.0
75,517,1064.0,427.0
76,518,717.2727272727273,445.0
77,519,556.5454545454545,365.0
78,520,1192.909090909091,719.0
79,391,719.5833333333334,559.5
80,393,808.3,477.5
81,394,523.6363636363636,519.0
82,395,646.4545454545455,348.0
83,397,996.0,505.0
84,398,1009.3636363636364,663.0
85,400,1356.5,629.0
86,401,1032.4,811.0
87,402,1199.6363636363637,718.0
88,403,1331.3636363636363,1313.0
89,404,586.6363636363636,278.0
90,405,1339.6363636363637,946.0
91,406,1163.7272727272727,966.0
92,407,1277.5,394.0
93,408,592.7272727272727,226.0
94,409,590.25,351.5
95,410,806.2727272727273,319.0
96,411,1395.0,1162.5
97,412,873.1,459.5
98,413,805.5,505.0
99,414,846.8,503.0
100,415,1370.4166666666667,454.0
101,416,656.0,457.0
102,417,644.8181818181819,375.0
103,418,1112.909090909091,499.0
104,420,1269.909090909091,684.0
105,421,1468.909090909091,811.0
106,422,928.6666666666666,605.5
107,423,863.0,661.0
108,424,532.7272727272727,353.0
109,425,737.7272727272727,356.0
110,426,555.0,247.0
111,427,604.1818181818181,338.0
112,428,1328.1818181818182,666.0
113,429,639.0909090909091,271.0
114,430,828.0,415.0
115,431,688.8,301.0
116,432,728.7,200.5
117,433,910.1818181818181,469.0
118,434,580.2727272727273,230.0
119,435,439.27272727272725,356.0
120,436,809.4166666666666,522.0
121,437,374.8181818181818,296.0
122,438,378.27272727272725,259.0
123,439,732.9,773.0
124,442,663.0909090909091,371.0
125,443,725.8181818181819,418.0
126,444,775.7272727272727,426.0
127,445,459.0,313.0
128,446,718.3636363636364,435.0
129,447,953.8181818181819,550.0
130,512,860.0,367.0
