URI, no of dates after author death
0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1.completed,9
0310Tabari.Tarikh.Shamela0009783-ara1.completed,45
0330Sirafi.Rihla.Shamela0011269-ara1.completed,1
0346Mascudi.TanbihWaIshraf.Shamela0023718-ara1,2
0381IbnBabawayh.CilalSharaic.Shia001140Vols-ara1.completed,1
0414IbnCaliNaqqash.FununCajaib.Shamela0009754-ara1,1
0491IbnMuhammadZaynabi.Amali.Shamela0030725-ara1,1
0507IbnQaysarani.AnsabMuttafiqa.Shamela0005794-ara1.completed,1
0528IbnMuhammadIbnHaqanIshbili.MatmahAnfus.Shamela0006910-ara1,1
0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1.mARkdown,15
0968Tashkubruizadah.ShaqaiqNucmaniyya.Shamela0006723-ara1,4
